company_name,raw_name,isin,sector,symbol,ticker,tradable
SHRIRAM FINANCE LIMITED,SHRIRAM FINANCE LIMITEDFV-2,INE721A01047,BANKING & FINANCE,SHRIRAMFIN,SHRIRAMFIN.NS,Y
SIEMENS LTD,SIEMENS LTD.,INE003A01024,MANUFACTURE OF ELECTRICAL EQUIPMENT,SIEMENS,SIEMENS.NS,Y
SUN PHARMACEUTICAL INDUSTRIES LTD,SUN PHARMACEUTICAL INDUSTRIES LTD.FV-1,INE044A01036,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",SUNPHARMA,SUNPHARMA.NS,Y
SWIGGY LIMITED,SWIGGY LIMITED,INE00H001014,INFORMATION SERVICE ACTIVITIES,SWIGGY,SWIGGY.NS,Y
TATA CONSULTANCY SERVICES LTD,TATA CONSULTANCY SERVICES LTD.,INE467B01029,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",TCS,TCS.NS,Y
TATA CONSUMER PRODUCTS LIMITED,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,MANUFACTURE OF FOOD PRODUCTS,TATACONSUM,TATACONSUM.NS,Y
TATA MOTORS LTD,TATA MOTORS LTD. FV-2,INE1TAE01010,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",TMCV,TMCV.NS,Y
TATA STEEL LTD,TATA STEEL LTD.FV-1,INE081A01020,MANUFACTURE OF BASIC METALS,TATASTEEL,TATASTEEL.NS,Y
TECH MAHINDRA LTD,TECH MAHINDRA LTD.FV-5,INE669C01036,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",TECHM,TECHM.NS,Y
TITAN INDUSTRIES LTD,TITAN INDUSTRIES LTD.FV-1,INE280A01028,OTHER MANUFACTURING,TITAN,TITAN.NS,Y
TRENT LTD,TRENT LTD.FV-1,INE849A01020,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",TRENT,TRENT.NS,Y
ULTRATECH CEMENT LTD,ULTRATECH CEMENT LTD.,INE481G01011,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,ULTRACEMCO,ULTRACEMCO.NS,Y
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,INE742F01042,WAREHOUSING AND SUPPORT ACTIVITIES FOR TRANSPORTATION,ADANIPORTS,ADANIPORTS.NS,Y
AMBER ENTERPRISES INDIA LIMITED,AMBER ENTERPRISES INDIA LIMITED,INE371P01015,MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.,AMBER,AMBER.NS,Y
ASHOK LEYLAND LTD,ASHOK LEYLAND LTD.,INE208A01029,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",ASHOKLEY,ASHOKLEY.NS,Y
ASK AUTOMOTIVE LTD,ASK AUTOMOTIVE LTD,INE491J01022,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,ASKAUTOLTD,ASKAUTOLTD.NS,Y
ASTRAL POLY TECHNIK LTD,ASTRAL POLY TECHNIK LTD,INE006I01046,MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,ASTRAL,ASTRAL.NS,Y
ATUL LIMITED,ATUL LIMITED,INE100A01010,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,ATUL,ATUL.NS,Y
AU SMALL FINANCE BANK LIMITED,AU SMALL FINANCE BANK LIMITED,INE949L01017,BANKING & FINANCE,AUBANK,AUBANK.NS,Y
BANK OF INDIA,BANK OF INDIA,INE084A01016,BANKING & FINANCE,BANKINDIA,BANKINDIA.NS,Y
BHARAT PETROLEUM CORPORATION LTD,BHARAT PETROLEUM CORPORATION LTD.,INE029A01011,MANUFACTURE OF COKE AND REFINED PETROLEUM PRODUCTS,BPCL,BPCL.NS,Y
BSE LIMITED,BSE LIMITED,INE118H01025,BANKING & FINANCE,BSE,BSE.NS,Y
CHOLAMANDALAM FINANCIAL HOLDINGS LTD,CHOLAMANDALAM FINANCIAL HOLDINGS LTD,INE149A01033,BANKING & FINANCE,CHOLAHLDNG,CHOLAHLDNG.NS,Y
CIPLA LTD,CIPLA LTD.,INE059A01026,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",CIPLA,CIPLA.NS,Y
COFORGE LTD,COFORGE LTD.FV-2,INE591G01025,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",COFORGE,COFORGE.NS,Y
CORONA REMEDIES LIMITED,CORONA REMEDIES LIMITED,INE02ZQ01018,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",CORONA,CORONA.NS,Y
CRAFTSMAN AUTOMATION LTD,CRAFTSMAN AUTOMATION LTD.,INE00LO01017,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",CRAFTSMAN,CRAFTSMAN.NS,Y
ENDURANCE TECHNOLOGIES LIMITED,ENDURANCE TECHNOLOGIES LIMITED,INE913H01037,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,ENDURANCE,ENDURANCE.NS,Y
GODREJ CONSUMER PRODUCTS LTD,GODREJ CONSUMER PRODUCTS LTD,INE102D01028,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,GODREJCP,GODREJCP.NS,Y
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD.,INE346A01027,BANKING & FINANCE,ICICIAMC,ICICIAMC.NS,Y
INDIA SHELTER FINANCE CORPORATION LIMITED,INDIA SHELTER FINANCE CORPORATION LIMITED,INE922K01024,BANKING & FINANCE,INDIASHLTR,INDIASHLTR.NS,Y
INDIAN BANK,INDIAN BANK,INE562A01011,BANKING & FINANCE,INDIANB,INDIANB.NS,Y
INDUS IND BANK LTD,INDUS IND BANK LTD.,INE095A01012,BANKING & FINANCE,INDUSINDBK,INDUSINDBK.NS,Y
JIO FINANCIAL SERVICES LIMITED,JIO FINANCIAL SERVICES LIMITED,INE758E01017,BANKING & FINANCE,JIOFIN,JIOFIN.NS,Y
JK CEMENT LIMITED,JK CEMENT LIMITED,INE823G01014,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,JKCEMENT,JKCEMENT.NS,Y
